Open,High,Low,LTP
0.148854962,0.15048909,0.152788388,0.152671756
0.145038168,0.146726862,0.14973262,0.148854962
0.148854962,0.146726862,0.152788388,0.148854962
0.148854962,0.146726862,0.144385027,0.141221374
0.141221374,0.130925508,0.121466769,0.117557252
0.117557252,0.10910459,0.113827349,0.109923664
0.109923664,0.115876599,0.113827349,0.109923664
0.109923664,0.130925508,0.120702827,0.126717557
0.126717557,0.133182844,0.131398014,0.127480916
0.127480916,0.131677953,0.129106188,0.128244275
0.128244275,0.127915726,0.13368984,0.129770992
0.129770992,0.127915726,0.12987013,0.129770992
0.129770992,0.131677953,0.130634072,0.133587786
0.133587786,0.127915726,0.12987013,0.125954198
0.125954198,0.120391272,0.12605042,0.122137405
0.122137405,0.119638826,0.12223071,0.118320611
0.118320611,0.112866817,0.118411001,0.114503817
0.114503817,0.10910459,0.096256684,0.092366412
0.092366412,0.091045899,0.081741788,0.083969466
0.083969466,0.086531226,0.084033613,0.080152672
0.080152672,0.085778781,0.090145149,0.087022901
0.087022901,0.082768999,0.084033613,0.083969466
0.083969466,0.079006772,0.080977846,0.080152672
0.080152672,0.079006772,0.077922078,0.074045802
0.074045802,0.079006772,0.064171123,0.060305344
0.060305344,0.066967645,0.0710466,0.067938931
0.067938931,0.072234763,0.064935065,0.073282443
0.073282443,0.082016554,0.080213904,0.083206107
0.083206107,0.09255079,0.091673033,0.091603053
0.091603053,0.105342363,0.097784568,0.103053435
0.103053435,0.108352144,0.107715814,0.103816794
0.103816794,0.127915726,0.114591291,0.129770992
0.129770992,0.136192626,0.12987013,0.133587786
0.133587786,0.135440181,0.129106188,0.125954198
0.125954198,0.124905944,0.129106188,0.12519084
0.12519084,0.130925508,0.12605042,0.132061069
0.132061069,0.135440181,0.132925898,0.129007634
0.129007634,0.124153499,0.12223071,0.118320611
0.118320611,0.124153499,0.12987013,0.125954198
0.125954198,0.116629044,0.12223071,0.118320611
0.118320611,0.10910459,0.106951872,0.103053435
0.103053435,0.094055681,0.084033613,0.083969466
0.083969466,0.079759217,0.08250573,0.078625954
0.078625954,0.070729872,0.068754775,0.064885496
0.064885496,0.069977427,0.065699007,0.061832061
0.061832061,0.056433409,0.054239878,0.050381679
0.050381679,0.042889391,0.042016807,0.038167939
0.038167939,0.032355154,0.035905271,0.032061069
0.032061069,0.026335591,0.016806723,0.012977099
0.012977099,0.007524454,0.00381971,0
0,0,0,0
0,0.010534236,0.009167303,0.010687023
0.010687023,0.021820918,0.01986249,0.022137405
0.010687023,0.021820918,0.01986249,0.022137405
0.022137405,0.033860045,0.032085561,0.034351145
0.034351145,0.066215199,0.044308633,0.067175573
0.067175573,0.071482318,0.057295646,0.053435115
0.053435115,0.086531226,0.053475936,0.08778626
0.08778626,0.101580135,0.084033613,0.08778626
0.08778626,0.101580135,0.084797555,0.099236641
0.099236641,0.105342363,0.109243697,0.106870229
0.106870229,0.118133935,0.114591291,0.115267176
0.115267176,0.130173062,0.112299465,0.108396947
0.108396947,0.107599699,0.112299465,0.108396947
0.108396947,0.136192626,0.119938885,0.129770992
0.129770992,0.144469526,0.137509549,0.145038168
0.145038168,0.15048909,0.148968678,0.148854962
0.148854962,0.156508653,0.15355233,0.153435115
0.153435115,0.146726862,0.148968678,0.145038168
0.145038168,0.159518435,0.15737204,0.161832061
0.161832061,0.180586907,0.174178762,0.179389313
0.179389313,0.203160271,0.187165775,0.194656489
0.194656489,0.200902935,0.198624905,0.195419847
0.195419847,0.191873589,0.183346066,0.179389313
0.179389313,0.17682468,0.175706646,0.179389313
0.179389313,0.173062453,0.166539343,0.171755725
0.171755725,0.178329571,0.175706646,0.179389313
0.179389313,0.182844244,0.17723453,0.185496183
0.185496183,0.190368698,0.187929717,0.187022901
0.187022901,0.17682468,0.171886937,0.167938931
0.167938931,0.183596689,0.18105424,0.186259542
0.186259542,0.184349135,0.187165775,0.183206107
0.183206107,0.180586907,0.177998472,0.183206107
0.183206107,0.173814898,0.170359053,0.167938931
0.167938931,0.158013544,0.155844156,0.152671756
