Date,Open,High,Low,LTP
1/1/2015,0.429265331,0.422626026,0.43650546,0.426618049
1/4/2015,0.427140255,0.422626026,0.447425897,0.439380128
1/5/2015,0.43989071,0.432883939,0.445865835,0.442418718
1/6/2015,0.442926533,0.426436108,0.451794072,0.439380128
1/7/2015,0.43989071,0.434056272,0.450546022,0.446368885
1/8/2015,0.446873103,0.437280188,0.43650546,0.448799757
1/11/2015,0.449301761,0.434349355,0.459906396,0.448799757
1/12/2015,0.449301761,0.433470106,0.448985959,0.442418718
1/13/2015,0.442926533,0.428487691,0.450546022,0.442722577
1/14/2015,0.443230115,0.437280188,0.44399376,0.449103616
1/18/2015,0.449605343,0.437280188,0.462090484,0.450015193
1/19/2015,0.45051609,0.487690504,0.458346334,0.481920389
1/20/2015,0.482392228,0.463657679,0.458346334,0.465208143
1/22/2015,0.465695203,0.449003517,0.458970359,0.461257976
1/25/2015,0.461748634,0.462192263,0.478627145,0.480401094
1/26/2015,0.480874317,0.470691676,0.489859594,0.481312671
1/27/2015,0.481785064,0.466295428,0.489547582,0.479793376
1/28/2015,0.480267152,0.479484174,0.486427457,0.494074749
1/29/2015,0.494535519,0.495896835,0.502028081,0.497113339
2/1/2015,0.497571342,0.48094959,0.500468019,0.498632634
2/2/2015,0.499089253,0.485638921,0.51326053,0.501063507
2/3/2015,0.501517911,0.482708089,0.511700468,0.50015193
2/4/2015,0.500607165,0.49003517,0.511388456,0.498632634
2/5/2015,0.499089253,0.481242673,0.505148206,0.494378608
2/8/2015,0.494839101,0.48007034,0.506708268,0.49680948
2/9/2015,0.49726776,0.478018757,0.506708268,0.494074749
2/10/2015,0.494535519,0.472450176,0.495163807,0.491036159
2/11/2015,0.491499696,0.486811254,0.505148206,0.498632634
2/12/2015,0.499089253,0.485932005,0.506708268,0.500455789
2/15/2015,0.500910747,0.484173505,0.509828393,0.50015193
2/16/2015,0.500607165,0.482415006,0.51326053,0.49984807
2/16/2015,0.500607165,0.482415006,0.51326053,0.49984807
2/18/2015,0.500303582,0.478311841,0.506708268,0.497113339
2/22/2015,0.497571342,0.478018757,0.501716069,0.492555454
2/23/2015,0.493017608,0.469519343,0.494227769,0.486478274
2/24/2015,0.486945962,0.469519343,0.492667707,0.484958979
2/25/2015,0.485428051,0.473036342,0.498907956,0.488301428
2/26/2015,0.488767456,0.475381008,0.500468019,0.494074749
3/1/2015,0.494535519,0.478311841,0.502028081,0.492251595
3/2/2015,0.492714026,0.479777257,0.508268331,0.494074749
3/3/2015,0.494535519,0.475381008,0.505148206,0.491643877
3/4/2015,0.492106861,0.482708089,0.502028081,0.494378608
3/9/2015,0.494839101,0.487397421,0.512948518,0.498936493
3/10/2015,0.499392835,0.482121923,0.512948518,0.50015193
3/11/2015,0.500607165,0.483001172,0.511388456,0.500759648
3/12/2015,0.501214329,0.481242673,0.509828393,0.497113339
3/15/2015,0.497571342,0.47098476,0.497347894,0.485566697
3/16/2015,0.486035216,0.466588511,0.486427457,0.477362504
3/17/2015,0.477838494,0.466588511,0.48798752,0.484958979
3/18/2015,0.485428051,0.469519343,0.492043682,0.484958979
3/19/2015,0.485428051,0.478311841,0.497347894,0.487997569
3/22/2015,0.488463874,0.481828839,0.505460218,0.494074749
3/23/2015,0.494535519,0.475381008,0.495787832,0.485262838
3/24/2015,0.485731633,0.466588511,0.492667707,0.482831966
3/25/2015,0.483302975,0.462192263,0.489547582,0.479793376
3/26/2015,0.480267152,0.463071512,0.488611544,0.475843209
3/29/2015,0.476320583,0.45926143,0.486427457,0.475843209
3/30/2015,0.476320583,0.458968347,0.483307332,0.471285324
3/31/2015,0.471766849,0.462192263,0.486427457,0.480401094
4/1/2015,0.480874317,0.460726846,0.488923557,0.475235491
4/2/2015,0.475713418,0.456916764,0.486427457,0.472804619
4/5/2015,0.47328476,0.456330598,0.48174727,0.474323914
4/6/2015,0.474802672,0.458382181,0.484867395,0.476450927
4/7/2015,0.476927747,0.460726846,0.489547582,0.475843209
4/8/2015,0.476320583,0.462485346,0.486427457,0.480704953
4/9/2015,0.481177899,0.479777257,0.489859594,0.498632634
4/12/2015,0.499089253,0.491500586,0.506708268,0.492555454
4/13/2015,0.493017608,0.476846424,0.503588144,0.494986326
4/15/2015,0.495446266,0.478311841,0.506708268,0.495290185
4/16/2015,0.495749848,0.478604924,0.508892356,0.494682467
4/19/2015,0.495142684,0.478604924,0.508268331,0.497113339
4/20/2015,0.497571342,0.481242673,0.500780031,0.496201762
4/21/2015,0.496660595,0.481242673,0.505460218,0.491340018
4/22/2015,0.491803279,0.478311841,0.508268331,0.494378608
