Date,Open,High,Low,LTP
4/12/2017,0.450441609,0.448390152,0.452027695,0.451160542
4/13/2017,0.457801766,0.431818182,0.43867458,0.439071567
4/16/2017,0.445534838,0.427083333,0.426310584,0.422630561
4/18/2017,0.428851816,0.410984848,0.413946588,0.402804642
4/19/2017,0.408734053,0.405776515,0.40652819,0.414893617
4/20/2017,0.421000981,0.417613636,0.426310584,0.420212766
4/23/2017,0.42639843,0.455492424,0.446092977,0.443423598
4/24/2017,0.449950932,0.431818182,0.443620178,0.443423598
4/25/2017,0.449950932,0.429924242,0.441147379,0.439071567
4/26/2017,0.445534838,0.421875,0.43867458,0.431334623
4/27/2017,0.437684004,0.42282197,0.434718101,0.434235977
4/30/2017,0.440628067,0.422348485,0.428783383,0.417311412
5/2/2017,0.423454367,0.405776515,0.423837784,0.412475822
5/3/2017,0.418547596,0.429924242,0.43620178,0.428916828
5/4/2017,0.435230618,0.417613636,0.432245302,0.424564797
5/7/2017,0.430814524,0.412878788,0.418892186,0.412475822
5/8/2017,0.418547596,0.414772727,0.416419387,0.414893617
5/9/2017,0.421000981,0.422348485,0.431256182,0.424564797
5/11/2017,0.430814524,0.417613636,0.43620178,0.424564797
5/15/2017,0.430814524,0.42092803,0.43620178,0.424564797
5/16/2017,0.430814524,0.412878788,0.424332344,0.423597679
5/17/2017,0.42983317,0.412878788,0.431256182,0.424564797
5/18/2017,0.430814524,0.415246212,0.426310584,0.421663443
5/21/2017,0.427870461,0.412878788,0.423837784,0.419729207
5/22/2017,0.425907753,0.412405303,0.423837784,0.412475822
5/23/2017,0.418547596,0.412878788,0.426310584,0.419729207
5/24/2017,0.425907753,0.411458333,0.426805143,0.42311412
5/28/2017,0.429342493,0.409564394,0.423837784,0.413926499
5/30/2017,0.420019627,0.405776515,0.40603363,0.395067698
5/31/2017,0.400883219,0.39157197,0.401582591,0.395551257
6/1/2017,0.401373896,0.396306818,0.404055391,0.395551257
6/4/2017,0.401373896,0.384943182,0.391691395,0.385880077
6/5/2017,0.391560353,0.388731061,0.396636993,0.395551257
6/6/2017,0.401373896,0.398674242,0.40652819,0.404738878
6/7/2017,0.410696762,0.403409091,0.413452028,0.402804642
6/8/2017,0.408734053,0.39157197,0.40652819,0.401353965
6/11/2017,0.407262022,0.390151515,0.391691395,0.382011605
6/12/2017,0.387634936,0.374526515,0.382294758,0.376208897
6/13/2017,0.381746811,0.374526515,0.384272997,0.376208897
6/14/2017,0.381746811,0.365530303,0.381800198,0.372340426
6/15/2017,0.377821394,0.386363636,0.385756677,0.385880077
6/18/2017,0.391560353,0.375,0.383283877,0.375725338
